Age,Data Source,Destination,Disability,Education Level,Grade,Immigration Status,Indicator,Origin,Reference Area,Residence,School Subject ,Sex,Socioeconomic Background,State or Province,Time Period,Type Of Institution,Unit Measure,Wealth Quintile,Obs Value
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Male,Total,,2017,Total,%,Total,98.75102234
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.4 Out-of-school rate (household survey data),Total,United States,Total,Total,Both sexes,Total,,2010,Total,%,Total,1.683556952
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.4 Out-of-school rate (household survey data),Total,United States,Total,Total,Both sexes,Total,,2015,Total,%,Total,1.866046511
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.4 Out-of-school rate (household survey data),Total,United States,Total,Total,Both sexes,Total,,2016,Total,%,Total,1.959913969
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.4 Out-of-school rate (household survey data),Total,United States,Total,Total,Both sexes,Total,,2017,Total,%,Total,1.978635788
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.4 Out-of-school rate (household survey data),Total,United States,Total,Total,Female,Total,,2010,Total,%,Total,1.620675412
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.4 Out-of-school rate (household survey data),Total,United States,Total,Total,Female,Total,,2015,Total,%,Total,1.980837837
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.4 Out-of-school rate (household survey data),Total,United States,Total,Total,Female,Total,,2016,Total,%,Total,1.953661442
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.4 Out-of-school rate (household survey data),Total,United States,Total,Total,Female,Total,,2017,Total,%,Total,1.90308094
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.4 Out-of-school rate (household survey data),Total,United States,Total,Total,Male,Total,,2010,Total,%,Total,1.742721651
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.4 Out-of-school rate (household survey data),Total,United States,Total,Total,Male,Total,,2015,Total,%,Total,1.755947191
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.4 Out-of-school rate (household survey data),Total,United States,Total,Total,Male,Total,,2016,Total,%,Total,1.965856552
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.4 Out-of-school rate (household survey data),Total,United States,Total,Total,Male,Total,,2017,Total,%,Total,2.049690485
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.5 Percentage of pupils who are at least 2 years over-age for their current grade,Total,United States,Total,Total,Both sexes,Total,,2013,Total,%,Total,5.0836
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.5 Percentage of pupils who are at least 2 years over-age for their current grade,Total,United States,Total,Total,Both sexes,Total,,2014,Total,%,Total,4.44745
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.5 Percentage of pupils who are at least 2 years over-age for their current grade,Total,United States,Total,Total,Both sexes,Total,,2015,Total,%,Total,4.12716
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.5 Percentage of pupils who are at least 2 years over-age for their current grade,Total,United States,Total,Total,Both sexes,Total,,2016,Total,%,Total,3.98864
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.5 Percentage of pupils who are at least 2 years over-age for their current grade,Total,United States,Total,Total,Both sexes,Total,,2017,Total,%,Total,4.1748
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.5 Percentage of pupils who are at least 2 years over-age for their current grade,Total,United States,Total,Total,Both sexes,Total,,2018,Total,%,Total,4.31262
Total,UIS,Total,Total,Lower secondary,Total,Total,4.1.5 Percentage of pupils who are at least 2 years over-age for their current grade,Total,United States,Total,Total,Both sexes,Total,,2019,Total,%,Total,4.20424
Total,UIS,Total,Total,Lower secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Both sexes,Total,,2005,Total,%,Total,100.82308
Total,UIS,Total,Total,Lower secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Both sexes,Total,,2013,Total,%,Total,99.58451
Total,UIS,Total,Total,Lower secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Both sexes,Total,,2014,Total,%,Total,99.8482
Total,UIS,Total,Total,Lower secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Both sexes,Total,,2015,Total,%,Total,100.5729
Total,UIS,Total,Total,Lower secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Both sexes,Total,,2016,Total,%,Total,101.94135
Total,UIS,Total,Total,Lower secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Both sexes,Total,,2017,Total,%,Total,102.31503
Total,UIS,Total,Total,Lower secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Both sexes,Total,,2018,Total,%,Total,102.06858
Total,UIS,Total,Total,Lower secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Both sexes,Total,,2019,Total,%,Total,102.3674
Total,UIS,Total,Total,Lower secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2005,Total,%,Total,100.04111
Total,UIS,Total,Total,Lower secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2013,Total,%,Total,98.75594
Total,UIS,Total,Total,Lower secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2014,Total,%,Total,99.94119
Total,UIS,Total,Total,Lower secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2015,Total,%,Total,100.70439
Total,UIS,Total,Total,Lower secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2016,Total,%,Total,99.6492
Total,UIS,Total,Total,Lower secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2017,Total,%,Total,101.58937
Total,UIS,Total,Total,Lower secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2018,Total,%,Total,101.49129
Total,UIS,Total,Total,Lower secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2019,Total,%,Total,102.05506
Total,UIS,Total,Total,Lower secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2005,Total,%,Total,101.5678
Total,UIS,Total,Total,Lower secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2013,Total,%,Total,100.37542
Total,UIS,Total,Total,Lower secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2014,Total,%,Total,99.75934
Total,UIS,Total,Total,Lower secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2015,Total,%,Total,100.4468
Total,UIS,Total,Total,Lower secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2016,Total,%,Total,104.1435
Total,UIS,Total,Total,Lower secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2017,Total,%,Total,103.01217
Total,UIS,Total,Total,Lower secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2018,Total,%,Total,102.62277
Total,UIS,Total,Total,Lower secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2019,Total,%,Total,102.66682
Total,UIS,Total,Total,Lower secondary,Total,Total,Total net enrolment rate,Total,United States,Total,Total,Both sexes,Total,,2005,Total,%,Total,98.85082
Total,UIS,Total,Total,Lower secondary,Total,Total,Total net enrolment rate,Total,United States,Total,Total,Both sexes,Total,,2013,Total,%,Total,98.63796
Total,UIS,Total,Total,Lower secondary,Total,Total,Total net enrolment rate,Total,United States,Total,Total,Both sexes,Total,,2014,Total,%,Total,97.76647
Total,UIS,Total,Total,Lower secondary,Total,Total,Total net enrolment rate,Total,United States,Total,Total,Both sexes,Total,,2015,Total,%,Total,99.15387
Total,UIS,Total,Total,Lower secondary,Total,Total,Total net enrolment rate,Total,United States,Total,Total,Both sexes,Total,,2016,Total,%,Total,99.69572
Total,UIS,Total,Total,Lower secondary,Total,Total,Total net enrolment rate,Total,United States,Total,Total,Both sexes,Total,,2017,Total,%,Total,99.79625
Total,UIS,Total,Total,Lower secondary,Total,Total,Total net enrolment rate,Total,United States,Total,Total,Both sexes,Total,,2018,Total,%,Total,99.68881
Total,UIS,Total,Total,Lower secondary,Total,Total,Total net enrolment rate,Total,United States,Total,Total,Both sexes,Total,,2019,Total,%,Total,99.53956
Total,UIS,Total,Total,Pre-primary,Total,Total,4.2.2 Adjusted net attendance rate (one year before the official primary entry age),Total,United States,Total,Total,Both sexes,Total,,2010,Total,%,Total,86.48120915
Total,UIS,Total,Total,Pre-primary,Total,Total,4.2.2 Adjusted net attendance rate (one year before the official primary entry age),Total,United States,Total,Total,Both sexes,Total,,2015,Total,%,Total,86.22974742
Total,UIS,Total,Total,Pre-primary,Total,Total,4.2.2 Adjusted net attendance rate (one year before the official primary entry age),Total,United States,Total,Total,Both sexes,Total,,2016,Total,%,Total,100
Total,UIS,Total,Total,Pre-primary,Total,Total,4.2.2 Adjusted net attendance rate (one year before the official primary entry age),Total,United States,Total,Total,Both sexes,Total,,2017,Total,%,Total,100
Total,UIS,Total,Total,Pre-primary,Total,Total,4.2.2 Adjusted net attendance rate (one year before the official primary entry age),Total,United States,Total,Total,Female,Total,,2010,Total,%,Total,86.5642721
Total,UIS,Total,Total,Pre-primary,Total,Total,4.2.2 Adjusted net attendance rate (one year before the official primary entry age),Total,United States,Total,Total,Female,Total,,2015,Total,%,Total,86.57922717
Total,UIS,Total,Total,Pre-primary,Total,Total,4.2.2 Adjusted net attendance rate (one year before the official primary entry age),Total,United States,Total,Total,Female,Total,,2016,Total,%,Total,100
Total,UIS,Total,Total,Pre-primary,Total,Total,4.2.2 Adjusted net attendance rate (one year before the official primary entry age),Total,United States,Total,Total,Female,Total,,2017,Total,%,Total,100
Total,UIS,Total,Total,Pre-primary,Total,Total,4.2.2 Adjusted net attendance rate (one year before the official primary entry age),Total,United States,Total,Total,Male,Total,,2010,Total,%,Total,86.39958706
Total,UIS,Total,Total,Pre-primary,Total,Total,4.2.2 Adjusted net attendance rate (one year before the official primary entry age),Total,United States,Total,Total,Male,Total,,2015,Total,%,Total,85.8947152
Total,UIS,Total,Total,Pre-primary,Total,Total,4.2.2 Adjusted net attendance rate (one year before the official primary entry age),Total,United States,Total,Total,Male,Total,,2016,Total,%,Total,100
Total,UIS,Total,Total,Pre-primary,Total,Total,4.2.2 Adjusted net attendance rate (one year before the official primary entry age),Total,United States,Total,Total,Male,Total,,2017,Total,%,Total,100
Total,UIS,Total,Total,Pre-primary,Total,Total,4.2.2 Adjusted net enrolment rate (one year before the official primary entry age),Total,United States,Total,Total,Both sexes,Total,,2005,Total,%,Total,93.14037
Total,UIS,Total,Total,Pre-primary,Total,Total,4.2.2 Adjusted net enrolment rate (one year before the official primary entry age),Total,United States,Total,Total,Both sexes,Total,,2013,Total,%,Total,90.01836
Total,UIS,Total,Total,Pre-primary,Total,Total,4.2.2 Adjusted net enrolment rate (one year before the official primary entry age),Total,United States,Total,Total,Both sexes,Total,,2014,Total,%,Total,90.33312
Total,UIS,Total,Total,Pre-primary,Total,Total,4.2.2 Adjusted net enrolment rate (one year before the official primary entry age),Total,United States,Total,Total,Both sexes,Total,,2015,Total,%,Total,91.04018
Total,UIS,Total,Total,Pre-primary,Total,Total,4.2.2 Adjusted net enrolment rate (one year before the official primary entry age),Total,United States,Total,Total,Both sexes,Total,,2016,Total,%,Total,91.20034
Total,UIS,Total,Total,Pre-primary,Total,Total,4.2.2 Adjusted net enrolment rate (one year before the official primary entry age),Total,United States,Total,Total,Both sexes,Total,,2017,Total,%,Total,90.46672
Total,UIS,Total,Total,Pre-primary,Total,Total,4.2.2 Adjusted net enrolment rate (one year before the official primary entry age),Total,United States,Total,Total,Both sexes,Total,,2018,Total,%,Total,89.9779
Total,UIS,Total,Total,Pre-primary,Total,Total,4.2.2 Adjusted net enrolment rate (one year before the official primary entry age),Total,United States,Total,Total,Both sexes,Total,,2019,Total,%,Total,89.7832
Total,UIS,Total,Total,Pre-primary,Total,Total,4.2.4 Gross enrolment ratio (early childhood and pre-primary),Total,United States,Total,Total,Both sexes,Total,,2005,Total,%,Total,70.51733
Total,UIS,Total,Total,Pre-primary,Total,Total,4.2.4 Gross enrolment ratio (early childhood and pre-primary),Total,United States,Total,Total,Both sexes,Total,,2013,Total,%,Total,71.52396
Total,UIS,Total,Total,Pre-primary,Total,Total,4.2.4 Gross enrolment ratio (early childhood and pre-primary),Total,United States,Total,Total,Both sexes,Total,,2014,Total,%,Total,64.78294
Total,UIS,Total,Total,Pre-primary,Total,Total,4.2.4 Gross enrolment ratio (early childhood and pre-primary),Total,United States,Total,Total,Both sexes,Total,,2015,Total,%,Total,72.02736
Total,UIS,Total,Total,Pre-primary,Total,Total,4.2.4 Gross enrolment ratio (early childhood and pre-primary),Total,United States,Total,Total,Both sexes,Total,,2016,Total,%,Total,71.93737
Total,UIS,Total,Total,Pre-primary,Total,Total,4.2.4 Gross enrolment ratio (early childhood and pre-primary),Total,United States,Total,Total,Both sexes,Total,,2017,Total,%,Total,72.93408
Total,UIS,Total,Total,Pre-primary,Total,Total,4.2.4 Gross enrolment ratio (early childhood and pre-primary),Total,United States,Total,Total,Both sexes,Total,,2018,Total,%,Total,72.14592
Total,UIS,Total,Total,Pre-primary,Total,Total,4.2.4 Gross enrolment ratio (early childhood and pre-primary),Total,United States,Total,Total,Both sexes,Total,,2019,Total,%,Total,72.21417
Total,UIS,Total,Total,Pre-primary,Total,Total,Number of years of free pre-primary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2002,Total,Number,Total,1
Total,UIS,Total,Total,Pre-primary,Total,Total,Number of years of free pre-primary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2003,Total,Number,Total,1
Total,UIS,Total,Total,Pre-primary,Total,Total,Number of years of free pre-primary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2004,Total,Number,Total,1
Total,UIS,Total,Total,Pre-primary,Total,Total,Number of years of free pre-primary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2005,Total,Number,Total,1
Total,UIS,Total,Total,Pre-primary,Total,Total,Number of years of free pre-primary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2006,Total,Number,Total,1
Total,UIS,Total,Total,Pre-primary,Total,Total,Number of years of free pre-primary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2007,Total,Number,Total,1
Total,UIS,Total,Total,Pre-primary,Total,Total,Number of years of free pre-primary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2008,Total,Number,Total,1
Total,UIS,Total,Total,Pre-primary,Total,Total,Number of years of free pre-primary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2009,Total,Number,Total,1
Total,UIS,Total,Total,Pre-primary,Total,Total,Number of years of free pre-primary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2010,Total,Number,Total,1
Total,UIS,Total,Total,Pre-primary,Total,Total,Number of years of free pre-primary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2011,Total,Number,Total,1
Total,UIS,Total,Total,Pre-primary,Total,Total,Number of years of free pre-primary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2012,Total,Number,Total,1
Total,UIS,Total,Total,Pre-primary,Total,Total,Number of years of free pre-primary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2013,Total,Number,Total,1
Total,UIS,Total,Total,Pre-primary,Total,Total,Number of years of free pre-primary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2014,Total,Number,Total,1
Total,UIS,Total,Total,Pre-primary,Total,Total,Number of years of free pre-primary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2015,Total,Number,Total,1
Total,UIS,Total,Total,Pre-primary,Total,Total,Number of years of free pre-primary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2016,Total,Number,Total,1
Total,UIS,Total,Total,Pre-primary,Total,Total,Number of years of free pre-primary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2017,Total,Number,Total,1
Total,UIS,Total,Total,Pre-primary,Total,Total,Number of years of free pre-primary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2018,Total,Number,Total,1
Total,UIS,Total,Total,Pre-primary,Total,Total,Number of years of free pre-primary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2019,Total,Number,Total,1
Total,UIS,Total,Total,Pre-primary,Total,Total,Number of years of free pre-primary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2020,Total,Number,Total,1
Total,UIS,Total,Total,Pre-primary,Total,Total,Number of years of free pre-primary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2021,Total,Number,Total,1
Total,UIS,Total,Total,Primary,Last grade,Total,4.1.3 Gross intake ratio,Total,United States,Total,Total,Both sexes,Total,,2017,Total,%,Total,98.8322
Total,UIS,Total,Total,Primary,Last grade,Total,4.1.3 Gross intake ratio,Total,United States,Total,Total,Both sexes,Total,,2018,Total,%,Total,100.0927
Total,UIS,Total,Total,Primary,Last grade,Total,4.1.3 Gross intake ratio,Total,United States,Total,Total,Both sexes,Total,,2019,Total,%,Total,100.48905
Total,UIS,Total,Total,Primary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Both sexes,Total,,2010,Total,%,Total,99.67774421
Total,UIS,Total,Total,Primary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Both sexes,Total,,2013,Total,%,Total,99.34
Total,UIS,Total,Total,Primary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Both sexes,Total,,2015,Total,%,Total,99.66953668
Total,UIS,Total,Total,Primary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Both sexes,Total,,2016,Total,%,Total,99.68894959
Total,UIS,Total,Total,Primary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Both sexes,Total,,2017,Total,%,Total,99.70259857
Total,UIS,Total,Total,Primary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Female,Total,,2010,Total,%,Total,99.70824042
Total,UIS,Total,Total,Primary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Female,Total,,2013,Total,%,Total,99.44
Total,UIS,Total,Total,Primary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Female,Total,,2015,Total,%,Total,99.69938298
Total,UIS,Total,Total,Primary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Female,Total,,2016,Total,%,Total,99.73226166
Total,UIS,Total,Total,Primary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Female,Total,,2017,Total,%,Total,99.75880432
Total,UIS,Total,Total,Primary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Male,Total,,2010,Total,%,Total,99.64922636
Total,UIS,Total,Total,Primary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Male,Total,,2013,Total,%,Total,99.24
Total,UIS,Total,Total,Primary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Male,Total,,2015,Total,%,Total,99.64117172
Total,UIS,Total,Total,Primary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Male,Total,,2016,Total,%,Total,99.64816284
Total,UIS,Total,Total,Primary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Male,Total,,2017,Total,%,Total,99.65015411
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Both sexes,Total,,2005,Total,%,Total,0.56519
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Both sexes,Total,,2013,Total,%,Total,2.89807
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Both sexes,Total,,2015,Total,%,Total,1.80586
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Both sexes,Total,,2016,Total,%,Total,0.35997
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Both sexes,Total,,2017,Total,%,Total,0.42438
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Both sexes,Total,,2018,Total,%,Total,0.57421
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Both sexes,Total,,2019,Total,%,Total,0.91657
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Female,Total,,2005,Total,%,Total,0.26888
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Female,Total,,2013,Total,%,Total,3.1411
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Female,Total,,2015,Total,%,Total,1.91738
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Female,Total,,2016,Total,%,Total,0.43096
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Female,Total,,2018,Total,%,Total,0.63568
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Female,Total,,2019,Total,%,Total,0.84899
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Male,Total,,2005,Total,%,Total,0.8478
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Male,Total,,2013,Total,%,Total,2.66526
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Male,Total,,2015,Total,%,Total,1.69895
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Male,Total,,2016,Total,%,Total,0.29188
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Male,Total,,2018,Total,%,Total,0.51532
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Male,Total,,2019,Total,%,Total,0.98131
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate (household survey data),Total,United States,Total,Total,Both sexes,Total,,2010,Total,%,Total,1.971327316
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate (household survey data),Total,United States,Total,Total,Both sexes,Total,,2015,Total,%,Total,2.097105208
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate (household survey data),Total,United States,Total,Total,Female,Total,,2010,Total,%,Total,1.965580957
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate (household survey data),Total,United States,Total,Total,Female,Total,,2015,Total,%,Total,2.078188072
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate (household survey data),Total,United States,Total,Total,Male,Total,,2010,Total,%,Total,1.97683212
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate (household survey data),Total,United States,Total,Total,Male,Total,,2015,Total,%,Total,2.115230755
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate (one year before official primary entry age),Total,United States,Total,Total,Both sexes,Total,,2014,Total,%,Total,9.66688
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate (one year before official primary entry age),Total,United States,Total,Total,Both sexes,Total,,2015,Total,%,Total,8.95982
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate (one year before official primary entry age),Total,United States,Total,Total,Both sexes,Total,,2016,Total,%,Total,8.79966
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate (one year before official primary entry age),Total,United States,Total,Total,Both sexes,Total,,2017,Total,%,Total,9.53328
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate (one year before official primary entry age),Total,United States,Total,Total,Both sexes,Total,,2018,Total,%,Total,10.0221
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate (one year before official primary entry age),Total,United States,Total,Total,Both sexes,Total,,2019,Total,%,Total,10.2168
